agg308,wd81,agg2503,utlmag04,duemag01,aepmag01,bi21s,lmd34s,ri27s,rle904,tel32s,tranbal09,at104s,sa21s,at103s,tel03s,at34af,g051s,agg9316,wd03,credits_subcategory,appusers_gender_male,1_cluster_mas_cercano,2_cluster_mas_cercano,3_cluster_mas_cercano,1_cluster_mas_lejano,2_cluster_mas_lejano,3_cluster_mas_lejano,target,set,fecha_desembolso,credito_id_anon
445.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,142.0,-1.0,0.0,23.0,50.0,0.0,-5.0,45.0,220.0,7.13,SUB_21,0.0,29,46,68,5,0,15,1.0,train,2022-07-19,4be6ab56c2d8
30.0,8.0,-1.0,-2.0,-2.0,-1.0,-4.0,-4.0,-4.0,-6.0,-4.0,-6.0,-4.0,6.0,-4.0,-4.0,-4.0,100.0,-2.0,3.53,SUB_34,1.0,17,0,2,5,3,42,0.0,train,2022-07-19,2c80aa4e632c
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SUB_37,1.0,8,68,60,5,11,49,1.0,train,2022-07-19,c377476871fb
1325.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,110.0,-1.0,33.0,1.0,67.0,0.0,96.0,67.0,0.0,4.8,SUB_21,0.0,6,30,11,5,0,2,1.0,train,2022-07-21,96b2082c9a92
39.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-3.0,-1.0,139.0,-1.0,33.0,29.0,67.0,2.0,-3.0,75.0,807.0,5.43,SUB_37,0.0,52,28,19,5,0,2,1.0,train,2022-07-21,a4977ddcb770
987.0,8.0,-1.0,-2.0,-2.0,-2.0,-4.0,-4.0,-4.0,-6.0,-4.0,-6.0,-4.0,13.0,-4.0,-4.0,-4.0,100.0,69.0,5.1,SUB_20,1.0,57,23,18,5,3,14,0.0,train,2022-07-21,276808f85b54
348.0,-2.0,-6.0,-6.0,-6.0,-6.0,-4.0,-4.0,-4.0,-6.0,-4.0,-6.0,-4.0,20.0,-4.0,-4.0,-4.0,100.0,116.0,5.0,SUB_21,0.0,32,1,21,5,49,11,0.0,train,2022-07-22,f6066bb8637b
39.0,8.0,-1.0,-1.0,300.0,-1.0,-1.0,-1.0,-1.0,-1.0,-3.0,-1.0,100.0,6.0,-3.0,-3.0,-1.0,75.0,50.0,7.54,SUB_33,1.0,4,32,21,5,49,31,0.0,train,2022-07-22,eeacc7609358
171.0,29.0,-1.0,283.0,301.0,-2.0,-1.0,-1.0,-3.0,-1.0,-1.0,-1.0,60.0,-1.0,-3.0,-1.0,-3.0,38.0,208.0,5.92,SUB_37,0.0,19,28,52,5,0,33,0.0,train,2022-07-22,28bcda1f8a6a
370.0,7.95,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-3.0,-2.0,50.0,25.0,100.0,-3.0,102.0,50.0,0.0,4.27,SUB_21,0.0,28,16,52,5,0,2,1.0,train,2022-07-22,e0d82efecc6a
-2.0,-7.0,-1.0,-2.0,300.0,-2.0,-1.0,-1.0,-1.0,-1.0,1938.0,-1.0,43.0,2.0,60.0,3.0,-1.0,14.0,546.0,7.0,SUB_12,1.0,-1,-1,-1,-1,-1,-1,0.0,train,2022-07-25,e885c882a88b
1659.0,0.0,3.5,331.0,356.0,-2.0,64.0,-3.0,1.0,-1.0,32.0,1708.0,39.0,27.0,88.0,1.0,92.0,1.0,1708.0,2.52,SUB_12,1.0,49,10,53,5,3,4,1.0,train,2022-07-26,c840ff5f9fae
5960.0,0.96,-1.0,-1.0,-1.0,-1.0,156.0,-1.0,0.0,-1.0,0.0,-1.0,30.0,1.0,40.0,2.0,55.0,25.0,18234.0,0.99,SUB_34,0.0,59,47,52,5,0,33,1.0,train,2022-07-26,84ff23d97782
-1.0,-1.0,-6.0,-6.0,-6.0,-6.0,133.0,-1.0,-3.0,-1.0,328.0,-1.0,0.0,33.0,0.0,0.0,-3.0,100.0,-2.0,-7.0,SUB_21,1.0,30,6,11,5,0,2,0.0,train,2022-07-26,712cf7a8f5e1
-1.0,-1.0,-1.0,-1.0,300.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,100.0,2.0,100.0,2.0,-1.0,50.0,0.0,8.0,SUB_12,0.0,20,37,53,5,3,4,1.0,train,2022-07-27,f78f60e8aad9
-2.0,-7.0,-1.0,-1.0,-1.0,-1.0,33.0,-1.0,-3.0,-1.0,28.0,-1.0,25.0,72.0,100.0,1.0,-3.0,40.0,0.0,-7.0,SUB_34,1.0,43,9,12,5,0,15,1.0,train,2022-07-28,d17602de65d6
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SUB_21,1.0,51,35,16,5,0,2,1.0,train,2022-07-28,30ce76e1e178
712.0,94.0,-1.0,237.0,367.0,-2.0,5.0,-1.0,-6.0,-1.0,975.0,-1.0,73.0,4.0,91.0,3.0,64.0,10.0,317.0,2.31,SUB_37,1.0,28,19,52,5,0,2,0.0,train,2022-07-28,4dfb264e5b89
498.0,8.0,-1.0,-2.0,293.0,-2.0,84.0,-1.0,-3.0,-1.0,183.0,-1.0,18.0,23.0,0.0,0.0,-3.0,70.0,1192.0,7.54,SUB_12,1.0,37,29,66,5,0,3,0.0,train,2022-07-28,dc324015f2a8
0.0,0.0,-1.0,214.0,362.0,-2.0,1.0,-1.0,-6.0,-1.0,0.0,-1.0,50.0,4.0,100.0,2.0,88.0,0.0,0.0,0.0,SUB_21,0.0,55,6,30,5,0,2,1.0,train,2022-07-28,c18ada6084a1
3017.0,519.0,-1.0,423.0,353.0,-2.0,128.0,-1.0,0.0,-1.0,451.0,100.0,26.0,3.0,33.0,0.0,121.0,45.0,3446.0,5.68,SUB_12,1.0,41,10,49,5,2,4,0.0,train,2022-07-28,7a8fa349a946
1406.0,7.22,-1.0,376.0,314.0,356.0,-1.0,-1.0,-6.0,-1.0,-3.0,-1.0,28.0,15.0,100.0,-3.0,26.0,23.0,0.0,6.73,SUB_37,1.0,11,6,30,5,0,15,1.0,train,2022-07-28,34fee35052b9
2427.0,8.0,-1.0,293.0,462.0,-2.0,96.0,-1.0,1.0,-1.0,374.0,-1.0,6.0,38.0,50.0,1.0,93.0,27.0,2312.0,8.0,SUB_30,1.0,31,67,35,5,0,2,0.0,train,2022-07-28,50614074c776
925.0,4.94,-1.0,280.0,279.0,-2.0,-1.0,-1.0,0.0,-1.0,196.0,-2.0,62.0,3.0,83.0,8.0,87.0,18.0,1577.0,3.58,SUB_33,0.0,42,67,47,5,0,2,1.0,train,2022-07-29,77cba1158679
913.0,5.23,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1194.0,-2.0,0.0,1.0,25.0,0.0,177.0,30.0,112.0,5.35,SUB_21,1.0,40,46,59,5,1,4,1.0,train,2022-07-29,281a6e432ab7
-2.0,-7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-3.0,-1.0,92.0,-1.0,100.0,25.0,100.0,3.0,-3.0,0.0,0.0,0.0,SUB_05,0.0,1,32,21,5,11,49,1.0,train,2022-07-29,87ecfae6f156
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SUB_12,0.0,20,40,41,5,4,0,1.0,train,2022-08-01,87ac6237ce98
3454.0,674.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,291.0,-1.0,44.0,1.0,50.0,1.0,-2.0,67.0,1468.0,6.69,SUB_32,1.0,59,40,46,5,1,4,0.0,train,2022-08-01,42fed53b7837
501.0,733.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,154.0,-2.0,13.0,2.0,60.0,1.0,31.0,35.0,580.0,6.84,SUB_21,0.0,19,52,28,5,0,33,0.0,train,2022-08-01,21114fd01341
