campo,valor,n
descripcion_negocio,Servicio de sellado de bolsa plástica,1
descripcion_negocio,"Bebidas alcohólicas en general gaseosas y cigarrillos, etc",1
descripcion_negocio,Consultoria avaluos,1
descripcion_negocio,Elaboración de productos de reposteria,1
descripcion_negocio,Postres,1
descripcion_negocio,Muebles en madera y aglomerados,1
descripcion_negocio,Fabrica de artesanías en madera y mobilario,1
descripcion_negocio,Ropa de damas i caballero  de niño i niña,1
descripcion_negocio,Reparación e instalaciones eléctricas domiciliarias e industriales,1
descripcion_negocio,trabajamos con satelite,1
descripcion_negocio,"Centro de fotocopiado, productos de papelería, venta de minutos, ferretería, venta de recargas",1
descripcion_negocio,Tienda de detalles,1
descripcion_negocio,"Blowers
Tintura
Diseño de color",1
descripcion_negocio,"Manicura tradicional. 
pedicura tradicional. 
Esmaltado semipermanente 
Uñas acrílicas 
Corte dama y caballero
Peinados 
Cepillados de cabello",1
descripcion_negocio,Carpintería metalica y de madera,1
descripcion_negocio,"mantenimeinto de pc, portatiles, servidores, instalacion de servidores, redes, paginas web, informatica forence, programacion,",1
descripcion_negocio,De todo un poco queso abarrotes,1
descripcion_negocio,Gaseosas cervezas,1
descripcion_negocio,Servicio de paseos Caninos,1
descripcion_negocio,Tintura de cabello,1
descripcion_negocio,"Hamburguesas
Perros calientes
Picadas en su bariedad
Bebidas gaseosas jugos",1
descripcion_negocio,Vestidos de novia,1
descripcion_negocio,Panes al mayor y detal,1
descripcion_negocio,"Hamburguesas, perros, salchipapas",1
descripcion_negocio,Jugueteria pelíches utilez,1
descripcion_negocio,Llevar pan,1
descripcion_negocio,"Helados crem helado 
Bar y Licores como
Cerveza 
Ron 
Agurdiente
Whisky",1
descripcion_negocio,Venta productos,1
descripcion_negocio,"Ofrezco arepas deliciosas al mayor y detal para el desayuno familiar o para emprender un negocio. 
Surto pequeños restaurantes con mi rico producto",1
descripcion_negocio,Servicio de cartes de cabello barbas uñas sepillado de cabello,1
descripcion_negocio,"productos de tecnologia de uso diario, relojes inteligentes, audifonos, parlantes. etc",1
descripcion_negocio,Cubrelechos cobijas sábanas cortinas etc.,1
descripcion_negocio,Venta de detalles y regalos para ocasiones especiales,1
descripcion_negocio,Vestimentas tradicionales del departamento y municipio; mantas guajiras,1
descripcion_negocio,Reparación y mantenimiento de motocicletas,1
descripcion_negocio,Todo lo relacionado con el cuidado de la piel y el cabello,1
descripcion_negocio,Venta de calzado para dama y deportivos,1
descripcion_negocio,"Trenzas hechas en fique decoradas con productos colombianos

Llaveros y manillas de colombia



Gorritas y otras ideas hechas en botella plasticas foamy
Con personajes",1
descripcion_negocio,Servicio de cafe internet,1
descripcion_negocio,"Bebidas gaseosas, arroz, panela, huevos, granos etc",1
descripcion_negocio,"Escolar,oficina y variedades",1
