credito_id_anon,cliente_id_anon,fecha_desembolso,numero_cuota,dias_retraso,fecha_t_pago,fecha_pago,valor_pagado,estatus_credito,ciudad,sexo,tipo_de_negocio,origen,max_dias_retraso,target
e2cee07621b8,417acf8710bd,2022-01-21,2,0.0,2022-03-22,2022-03-22,105336.0,PAGO,LOC_337,0,SEC_45,CANAL_17,12.0,1.0
e2cee07621b8,417acf8710bd,2022-01-21,3,1.0,2022-04-21,2022-04-22,106336.0,PAGO,LOC_337,0,SEC_45,CANAL_17,12.0,1.0
e2cee07621b8,417acf8710bd,2022-01-21,4,12.0,2022-05-21,2022-06-02,106300.0,PAGO,LOC_337,0,SEC_45,CANAL_17,12.0,1.0
e2cee07621b8,417acf8710bd,2022-01-21,5,0.0,2022-06-20,2022-06-09,106000.0,PAGO,LOC_337,0,SEC_45,CANAL_17,12.0,1.0
3f091e701a2d,baa21e15cf28,2022-01-24,1,243.0,2022-02-20,2022-10-21,200000.0,ACTIVO,LOC_218,1,SEC_22,CANAL_17,784.0,0.0
3f091e701a2d,baa21e15cf28,2022-01-24,2,784.0,2022-03-22,,0.0,ACTIVO,LOC_218,1,SEC_22,CANAL_17,784.0,0.0
3f091e701a2d,baa21e15cf28,2022-01-24,3,754.0,2022-04-21,,0.0,ACTIVO,LOC_218,1,SEC_22,CANAL_17,784.0,0.0
3f091e701a2d,baa21e15cf28,2022-01-24,4,724.0,2022-05-21,,0.0,ACTIVO,LOC_218,1,SEC_22,CANAL_17,784.0,0.0
3f091e701a2d,baa21e15cf28,2022-01-24,5,694.0,2022-06-20,,0.0,ACTIVO,LOC_218,1,SEC_22,CANAL_17,784.0,0.0
425db9e32fdb,6743716e27eb,2022-01-21,1,814.0,2022-02-20,,0.0,ACTIVO,LOC_218,0,SEC_14,CANAL_17,814.0,0.0
425db9e32fdb,6743716e27eb,2022-01-21,2,784.0,2022-03-22,,0.0,ACTIVO,LOC_218,0,SEC_14,CANAL_17,814.0,0.0
425db9e32fdb,6743716e27eb,2022-01-21,3,754.0,2022-04-21,,0.0,ACTIVO,LOC_218,0,SEC_14,CANAL_17,814.0,0.0
91e6bdc12565,13b38253cb90,2022-01-24,1,1.0,2022-02-20,2022-02-21,105000.0,PAGO,LOC_218,1,SEC_44,CANAL_17,587.0,0.0
91e6bdc12565,13b38253cb90,2022-01-24,2,587.0,2022-03-22,2022-06-23,50000.0,PAGO,LOC_218,1,SEC_44,CANAL_17,587.0,0.0
91e6bdc12565,13b38253cb90,2022-01-24,3,574.0,2022-04-21,2023-11-16,75000.0,PAGO,LOC_218,1,SEC_44,CANAL_17,587.0,0.0
9b6b94e0bbfa,f3900701bd78,2022-01-31,1,1.0,2022-03-02,2022-03-03,106336.0,PAGO,LOC_218,0,SEC_14,CANAL_17,149.0,0.0
9b6b94e0bbfa,f3900701bd78,2022-01-31,2,18.0,2022-04-01,2022-04-19,106000.0,PAGO,LOC_218,0,SEC_14,CANAL_17,149.0,0.0
9b6b94e0bbfa,f3900701bd78,2022-01-31,3,149.0,2022-05-01,2022-09-27,337200.0,PAGO,LOC_218,0,SEC_14,CANAL_17,149.0,0.0
9b6b94e0bbfa,f3900701bd78,2022-01-31,4,0.0,2022-05-31,,0.0,PAGO,LOC_218,0,SEC_14,CANAL_17,149.0,0.0
9b6b94e0bbfa,f3900701bd78,2022-01-31,5,0.0,2022-06-30,,,PAGO,LOC_218,0,SEC_14,CANAL_17,149.0,0.0
38b3c449761b,8a47dea8878c,2022-01-31,1,0.0,2022-03-02,2022-03-02,131578.0,PAGO,LOC_218,1,SEC_35,CANAL_17,2.0,1.0
38b3c449761b,8a47dea8878c,2022-01-31,2,0.0,2022-04-01,2022-03-31,131578.0,PAGO,LOC_218,1,SEC_35,CANAL_17,2.0,1.0
38b3c449761b,8a47dea8878c,2022-01-31,3,2.0,2022-05-01,2022-05-03,131578.0,PAGO,LOC_218,1,SEC_35,CANAL_17,2.0,1.0
38b3c449761b,8a47dea8878c,2022-01-31,4,2.0,2022-05-31,2022-06-02,131578.0,PAGO,LOC_218,1,SEC_35,CANAL_17,2.0,1.0
38c967c2bb02,f9c795e659ec,2022-01-31,1,804.0,2022-03-02,2022-06-08,20000.0,ACTIVO,LOC_364,0,SEC_22,CANAL_17,804.0,0.0
38c967c2bb02,f9c795e659ec,2022-01-31,2,774.0,2022-04-01,,0.0,ACTIVO,LOC_364,0,SEC_22,CANAL_17,804.0,0.0
38c967c2bb02,f9c795e659ec,2022-01-31,3,744.0,2022-05-01,,0.0,ACTIVO,LOC_364,0,SEC_22,CANAL_17,804.0,0.0
38c967c2bb02,f9c795e659ec,2022-01-31,4,714.0,2022-05-31,,0.0,ACTIVO,LOC_364,0,SEC_22,CANAL_17,804.0,0.0
e2c8c43668a2,c69ef83247e1,2022-01-31,1,0.0,2022-03-02,2022-03-02,106336.0,ACTIVO,LOC_218,1,SEC_27,CANAL_17,744.0,0.0
e2c8c43668a2,c69ef83247e1,2022-01-31,2,3.0,2022-04-01,2022-04-04,106336.0,ACTIVO,LOC_218,1,SEC_27,CANAL_17,744.0,0.0
e2c8c43668a2,c69ef83247e1,2022-01-31,3,744.0,2022-05-01,,0.0,ACTIVO,LOC_218,1,SEC_27,CANAL_17,744.0,0.0
e2c8c43668a2,c69ef83247e1,2022-01-31,4,714.0,2022-05-31,,0.0,ACTIVO,LOC_218,1,SEC_27,CANAL_17,744.0,0.0
e2c8c43668a2,c69ef83247e1,2022-01-31,5,684.0,2022-06-30,,0.0,ACTIVO,LOC_218,1,SEC_27,CANAL_17,744.0,0.0
240136494e02,5dc7e38c2232,2022-01-31,1,0.0,2022-03-03,2022-03-03,80000.0,PAGO,LOC_218,0,SEC_72,CANAL_17,16.0,1.0
