credito_id_anon,max_dias_retraso,target
08950ab63ec1,0.0,1.0
08959059d61e,436.0,0.0
089770e6b44f,0.0,1.0
089855d47071,2.0,1.0
089e07eaafab,1.0,1.0
08a00f3d3ffe,0.0,1.0
08a277803846,0.0,1.0
08a3e72f2e42,10.0,1.0
08a43a81fec2,2.0,1.0
08ad4799ca2b,390.0,0.0
08b0dd588035,0.0,1.0
08b8e64db063,207.0,0.0
08bf100b7a28,84.0,0.0
08c93165de21,2.0,1.0
08d66c8f9232,495.0,0.0
08d80f275baf,436.0,0.0
08dfe0af6985,161.0,0.0
08e319e16a60,9.0,1.0
08ec455f32bc,24.0,1.0
08ed90651fb3,207.0,0.0
08ee61986503,344.0,0.0
08f3ab7767ca,39.0,
08fb01e2ecdb,130.0,0.0
0903a0bea1a1,556.0,0.0
0907e1be3c5b,0.0,1.0
0914febe0dfd,24.0,1.0
091b8062b783,495.0,0.0
0924a7ed87f1,0.0,1.0
092629d8650e,1.0,1.0
092ce855b3b1,449.0,0.0
092f70a63fa9,541.0,0.0
09373c7a4ed7,10.0,1.0
093798c069b9,390.0,0.0
093a1fb9d19c,0.0,1.0
09419b3c5e01,449.0,0.0
094258d26c08,405.0,0.0
094339ac5d48,3.0,1.0
0945c2531647,21.0,1.0
094a82d169f2,0.0,1.0
09572e79ed60,70.0,0.0
0957788d58fd,495.0,0.0
095bc72bf661,17.0,1.0
09602e126a98,375.0,0.0
09678cbe1bcc,1.0,1.0
0969c9d26d8f,314.0,0.0
097abb419f0f,70.0,0.0
097ea6254efc,572.0,0.0
0991507ebe05,0.0,1.0
099484f280a7,2.0,1.0
099eb45b4115,3.0,1.0
09a8a19cfa97,207.0,0.0
09ad1bbab463,2.0,1.0
09bc29b10a2f,10.0,1.0
09c65aa8eb98,230.0,0.0
09c7986cb873,1.0,1.0
09ca48736769,46.0,
09cdb16e33e5,161.0,0.0
09cf91bc0da5,12.0,1.0
09e2c07f811b,70.0,0.0
09f749062a9e,480.0,0.0
09f89c2f7ac9,0.0,1.0
0a02c8a13e03,3.0,1.0
0a0c015b49de,436.0,0.0
0a0e37880647,0.0,1.0
0a112af1ae35,161.0,0.0
0a18886b70c3,222.0,0.0
0a195ffc49a1,1.0,1.0
0a21eb1b1b01,191.0,0.0
0a260995caad,24.0,1.0
0a26ca727927,252.0,0.0
0a2a5c932184,2.0,1.0
0a2aefbfbb65,0.0,1.0
0a320744f764,16.0,1.0
0a3f144c7980,684.0,0.0
0a4631bcab6a,1.0,1.0
0a46344cc063,33.0,
0a481fa72921,2.0,1.0
0a48bb5710a8,495.0,0.0
0a49ce00c96d,55.0,
0a576e1729f8,6.0,1.0
0a5d21a95572,30.0,1.0
0a646462efd9,104.0,0.0
0a739e48e1fc,0.0,1.0
0a74ae8cf74c,1.0,1.0
0a74f940b8a7,39.0,
0a7585443fdb,7.0,1.0
0a7a0efe079d,495.0,0.0
0a89e1fe23b7,449.0,0.0
0a9635568ff1,0.0,1.0
0a96851a8689,84.0,0.0
0aa41c972cde,0.0,1.0
0aafa714efd0,6.0,1.0
0aba3244aedf,390.0,0.0
0ad05320a8ff,572.0,0.0
0ad3a6968815,14.0,1.0
0ae019cc2afe,6.0,1.0
0ae865551ae5,70.0,0.0
0aecfd188f34,1.0,1.0
0aeee5b75b6f,464.0,0.0
0af72040e4ff,207.0,0.0
0b0507f8d874,464.0,0.0
0b09f4e6c1cb,0.0,1.0
0b17eaa71cef,449.0,0.0
0b1d8c746e59,623.0,0.0
0b22f24ed455,390.0,0.0
0b2c3dbf4437,191.0,0.0
0b2de5a583a4,9.0,1.0
0b3a82d49c57,5.0,1.0
0b3e2d4c8061,480.0,0.0
0b4bb7060b7d,5.0,1.0
0b54cf9618f8,405.0,0.0
0b58d2b4556b,146.0,0.0
0b69371cabec,299.0,0.0
0b6e95c53497,115.0,0.0
0b6eb4ac0076,0.0,1.0
0b7808a5ec14,435.0,0.0
0b7e07eab181,24.0,1.0
0b8f7b028012,0.0,1.0
0b914e7fdffe,19.0,1.0
0b92fd20208b,252.0,0.0
0b9328d2505a,130.0,0.0
0b93d14a4061,654.0,0.0
0b9ff1ad11c7,55.0,
0ba8395407a4,0.0,1.0
0bad89f49caa,360.0,0.0
0bb36c51d337,375.0,0.0
0bb891eb527e,0.0,1.0
0bb8aa85718c,15.0,1.0
0bbdcaf150a2,375.0,0.0
0bc38f4eca91,0.0,1.0
0bc426f75ca4,511.0,0.0
0bdd4a45ffdc,3.0,1.0
0be178361a2d,9.0,1.0
0be1958ade3f,222.0,0.0
0be42b3013f1,0.0,1.0
0bf1a755d8be,526.0,0.0
0bf71d61dea2,0.0,1.0
0bf7643cbcea,782.0,0.0
0bfc9c75051f,8.0,1.0
0c0292d6ecf1,0.0,1.0
0c097f8cd71e,21.0,1.0
0c0bfb148d0b,252.0,0.0
0c0f8c2c42b4,0.0,1.0
0c20ffed69cb,0.0,1.0
0c21331f276a,375.0,0.0
0c228e9a975c,0.0,1.0
