number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,state
224,0.7667711370262391,2026-08-24 20:55:47.375221,2026-08-24 20:55:47.691994,0 days 00:00:00.316773,0.5074418567989623,0.050167616652703056,8,3,0.016780554996301378,0.00015047436842032557,0.831881776182521,COMPLETE
225,0.7597376093294461,2026-08-24 20:55:47.692071,2026-08-24 20:55:47.988283,0 days 00:00:00.296212,0.5332657211543534,0.08137753218639165,8,3,0.024705194494468778,0.00010001315591510696,0.8592157311643575,COMPLETE
226,0.7607142857142857,2026-08-24 20:55:47.988374,2026-08-24 20:55:48.354617,0 days 00:00:00.366243,0.5184325599158336,0.07361451768398437,8,4,0.013810870194389474,0.00012912627277545134,0.8438091903200452,COMPLETE
227,0.7693731778425656,2026-08-24 20:55:48.354724,2026-08-24 20:55:48.604471,0 days 00:00:00.249747,0.5300684329147562,0.06478717510249597,8,3,0.018295563069463155,0.00048583119793111956,0.8243765663694802,COMPLETE
228,0.763061224489796,2026-08-24 20:55:48.604549,2026-08-24 20:55:48.891691,0 days 00:00:00.287142,0.556841216296772,0.05939743789509066,8,2,0.014449672125743197,0.00015414980157939576,0.834056913843063,COMPLETE
229,0.7677259475218661,2026-08-24 20:55:48.891782,2026-08-24 20:55:49.219222,0 days 00:00:00.327440,0.5399925878314703,0.04553346625411538,8,3,0.011416282094164698,0.00032942588994003404,0.8743848210670568,COMPLETE
230,0.7664431486880467,2026-08-24 20:55:49.219301,2026-08-24 20:55:49.665962,0 days 00:00:00.446661,0.527208855232074,0.07932672228287374,8,4,0.03029258501786304,0.00012295985469398238,0.8425849678410244,COMPLETE
231,0.7692711370262392,2026-08-24 20:55:49.666059,2026-08-24 20:55:50.117285,0 days 00:00:00.451226,0.5329431248498654,0.06466689387901979,8,3,0.01950251932177931,0.0005047911209847828,0.8264137026158052,COMPLETE
232,0.7693002915451895,2026-08-24 20:55:50.117366,2026-08-24 20:55:50.398948,0 days 00:00:00.281582,0.5201795697467494,0.06763951098189194,8,3,0.01759801084265094,0.0001639323794925251,0.8242793279883521,COMPLETE
233,0.7656705539358601,2026-08-24 20:55:50.399031,2026-08-24 20:55:50.696595,0 days 00:00:00.297564,0.5396996276046908,0.0717795130929889,8,3,0.023208277890344322,0.00042360776738591534,0.8549238513186511,COMPLETE
234,0.7666180758017493,2026-08-24 20:55:50.696675,2026-08-24 20:55:51.001200,0 days 00:00:00.304525,0.5115600180983857,0.05439110032047659,8,3,0.015135765976747614,0.00024129855066461678,0.8351553631598176,COMPLETE
235,0.7550291545189505,2026-08-24 20:55:51.001279,2026-08-24 20:55:51.320011,0 days 00:00:00.318732,0.5270186077675388,0.06359743459771704,8,2,0.012378757070555654,0.00011978800139115021,0.8254063549703139,COMPLETE
236,0.7477696793002915,2026-08-24 20:55:51.320092,2026-08-24 20:55:51.480701,0 days 00:00:00.160609,0.8314018668716764,0.0769297974497914,8,3,0.01694642951074963,0.00034676238576470276,0.8461472782237253,COMPLETE
237,0.7655830903790087,2026-08-24 20:55:51.480781,2026-08-24 20:55:51.997604,0 days 00:00:00.516823,0.5499639855444659,0.060582577984361084,8,4,0.007710759836796678,0.00010090707398222792,0.8655317785903242,COMPLETE
238,0.7622886297376094,2026-08-24 20:55:51.997686,2026-08-24 20:55:52.340930,0 days 00:00:00.343244,0.5373976141974128,0.012876095973739515,8,2,0.011339942196471338,0.00017933358612248244,0.8371519309368924,COMPLETE
239,0.7631632653061224,2026-08-24 20:55:52.341012,2026-08-24 20:55:52.648472,0 days 00:00:00.307460,0.519575474661744,0.04874071841602501,8,3,0.014069969313052407,0.00014282192489667564,0.8202949000456092,COMPLETE
240,0.7666909620991252,2026-08-24 20:55:52.648554,2026-08-24 20:55:52.899407,0 days 00:00:00.250853,0.5573385522717769,0.07337690532495332,8,2,0.4487081994108041,0.0002378104824924543,0.8083198255806019,COMPLETE
241,0.7652915451895044,2026-08-24 20:55:52.899488,2026-08-24 20:55:53.232042,0 days 00:00:00.332554,0.523229780758944,0.06926734743541582,8,3,0.018805480508247475,0.00017402254609190994,0.8265963885037284,COMPLETE
242,0.7643731778425655,2026-08-24 20:55:53.232123,2026-08-24 20:55:53.482100,0 days 00:00:00.249977,0.5091282068325402,0.06721429094639966,8,3,0.02658935287010918,0.00014726912598106057,0.8228395305818158,COMPLETE
243,0.7611953352769678,2026-08-24 20:55:53.482182,2026-08-24 20:55:53.792324,0 days 00:00:00.310142,0.530337718152032,0.057658939602462544,8,4,0.0170694079544539,0.0001220965875230857,0.8477831460321803,COMPLETE
244,0.7787317784256559,2026-08-24 20:55:53.792406,2026-08-24 20:55:54.074210,0 days 00:00:00.281804,0.5196565238734364,0.06576129665868273,8,3,0.020415021313946454,0.00018711725141558615,0.8331492892956557,COMPLETE
245,0.7635860058309039,2026-08-24 20:55:54.074292,2026-08-24 20:55:54.373089,0 days 00:00:00.298797,0.5002916011619388,0.08255522951314925,8,3,0.021648549192870147,0.00020379205046123735,0.8338230851866675,COMPLETE
246,0.7536443148688046,2026-08-24 20:55:54.373171,2026-08-24 20:55:54.602832,0 days 00:00:00.229661,0.542799221937216,0.06408153405686928,8,17,0.010852894416967254,0.00027957306313802766,0.8428042974568694,COMPLETE
247,0.7598104956268221,2026-08-24 20:55:54.602922,2026-08-24 20:55:54.909779,0 days 00:00:00.306857,0.53284361107336,0.05465235104773714,8,4,0.013471755280081994,0.00012171555233714249,0.8537310641845917,COMPLETE
248,0.7671282798833818,2026-08-24 20:55:54.909866,2026-08-24 20:55:55.615901,0 days 00:00:00.706035,0.5166391720898584,0.07554452672761738,8,2,0.008994010347071054,0.0001847108750781256,0.8353811630351254,COMPLETE
249,0.7679446064139942,2026-08-24 20:55:55.615982,2026-08-24 20:55:55.911063,0 days 00:00:00.295081,0.5434089222073774,0.05804861018021759,8,3,0.021155574471293487,0.00010147444411531169,0.8165051798740548,COMPLETE
250,0.7568075801749271,2026-08-24 20:55:55.911144,2026-08-24 20:55:56.169454,0 days 00:00:00.258310,0.7370195925268971,0.06265122852739112,8,3,0.032951824436937525,0.00015075095447119306,0.8636862335349482,COMPLETE
251,0.7578571428571429,2026-08-24 20:55:56.169538,2026-08-24 20:55:56.474771,0 days 00:00:00.305233,0.5227143833065223,0.09187721473713062,8,2,0.014699635749986329,0.00030259811948787793,0.8404957410305607,COMPLETE
